political,nonpolitical,A
unnecessary,unneeded,S
unnecessary,necessary,A
harmful,harmless,A
undesirable,unwanted,S
undesirable,desirable,A
specific,general,A
specific,nonspecific,A
other,same,A
on,off,A
no,some,A
no,all,A
single,individual,S
single,unmarried,S
single,double,A
single,common,A
single,married,A
single,multiple,A
all,no,A
all,some,A
best,good,S
best,worst,A
best,evil,A
best,bad,A
certain,sure,S
certain,sealed,S
certain,uncertain,A
certain,unsealed,A
many,few,A
exclusive,inclusive,A
much,little,A
legal,illegal,A
economic,economical,S
private,public,A
like,alike,S
like,similar,S
like,same,S
like,unlike,A
like,unalike,A
classical,classic,S
classical,nonclassical,A
long,recollective,S
long,tenacious,S
long,retentive,S
long,short,A
long,unretentive,A
some,no,A
some,all,A
complete,incomplete,A
central,peripheral,A
social,societal,S
social,unsocial,A
represented,delineated,S
represented,delineate,S
represented,undelineated,A
communist,communistic,S
supported,unsupported,A
violent,nonviolent,A
greek,hellenic,S
greek,grecian,S
used,misused,A
united,divided,A
still,noneffervescent,S
still,moving,A
still,sparkling,A
common,uncommon,A
common,individual,A
outside,outdoor,S
outside,out-of-door,S
outside,inside,A
outside,indoor,A
socialist,socialistic,S
socialist,capitalistic,A
found,lost,A
latter,former,A
similar,like,S
similar,alike,S
similar,dissimilar,A
similar,unalike,A
similar,unlike,A
modern,nonmodern,A
secular,worldly,S
secular,temporal,S
secular,profane,S
secular,religious,A
secular,sacred,A
secular,unworldly,A
religious,irreligious,A
religious,secular,A
moral,immoral,A
positive,positivistic,S
positive,confirming,S
positive,positivist,S
positive,negative,A
positive,neutral,A
first,second,A
first,last,A
civil,polite,S
civil,civic,S
civil,uncivil,A
civil,sidereal,A
french,Gallic,S
revolutionary,rotatory,S
revolutionary,counterrevolutionary,A
developed,undeveloped,A
economical,economic,S
even,uneven,A
even,odd,A
spontaneous,self-generated,S
spontaneous,induced,A
opposed,unopposed,A
public,private,A
formed,unformed,A
sufficient,insufficient,A
preventive,preventative,S
preventive,permissive,A
reduced,decreased,S
reduced,increased,A
minimum,minimal,S
minimum,maximal,A
more,more_than,S
more,less,A
more,fewer,A
intensive,extensive,A
federal,unitary,A
local,national,A
local,general,A
literal,figurative,A
individual,single,S
individual,common,A
collective,distributive,A
supportive,unsupportive,A
unlike,dissimilar,S
unlike,different,S
unlike,like,A
philosophical,philosophic,S
minimal,minimum,S
minimal,maximal,A
present,absent,A
present,past,A
present,future,A
necessary,unnecessary,A
evil,good,A
irrelevant,relevant,A
powerless,powerful,A
gradual,sudden,A
gradual,steep,A
most,fewest,A
most,least,A
general,local,A
general,specific,A
good,evil,A
good,bad,A
equal,adequate,S
equal,inadequate,A
equal,unequal,A
right,correct,S
right,left,A
right,incorrect,A
right,wrong,A
right,center,A
late,early,A
published,unpublished,A
well,ill,A
permissible,allowable,S
permissible,impermissible,A
illegitimate,legitimate,A
go,no-go,A
combined,uncombined,A
small,little,S
small,large,A
following,leading,A
few,many,A
unorganized,unorganised,S
unorganized,organized,A
safe,dangerous,A
safe,out,A
kept,unbroken,S
kept,broken,A
TRUE,truthful,S
TRUE,FALSE,A
TRUE,untruthful,A
international,national,A
exchangeable,convertible,S
exchangeable,inconvertible,A
exchangeable,unexchangeable,A
free,bound,A
free,unfree,A
direct,lineal,S
direct,collateral,A
direct,indirect,A
direct,inverse,A
direct,alternating,A
direct,retrograde,A
natural,unnatural,A
natural,artificial,A
natural,sharp,A
natural,supernatural,A
natural,flat,A
accessible,inaccessible,A
defined,undefined,A
intellectual,cerebral,S
intellectual,nonintellectual,A
intellectual,emotional,A
major,minor,A
broad,wide,S
broad,narrow,A
revived,unrevived,A
current,noncurrent,A
broad,wide,S
concerned,unconcerned,A
voluntary,involuntary,A
just,equitable,S
just,fair,S
just,inequitable,A
just,unfair,A
just,unjust,A
exact,inexact,A
different,unlike,S
different,dissimilar,S
different,like,A
different,same,A
mutual,reciprocal,S
mutual,nonreciprocal,A
confused,clearheaded,A
whole,half,A
whole,fractional,A
extended,unextended,A
paid,unpaid,A
distributed,concentrated,A
out,safe,A
free,bound,A
free,unfree,A
composed,discomposed,A
organized,unorganized,A
organized,disorganized,A
related,related_to,S
related,unrelated,A
long,short,A
left,right,A
capitalist,socialist,A
same,like,S
same,unlike,A
same,different,A
same,other,A
incompatible,uncongenial,S
incompatible,antagonistic,S
incompatible,congenial,A
incompatible,compatible,A
incompatible,synergistic,A
blended,unblended,A
understood,ununderstood,A
shared,unshared,A
adopted,adoptive,S
adopted,native,A
troubled,untroubled,A
early,middle,A
early,late,A
distinct,indistinct,A
greater,lesser,A
potential,possible,S
potential,actual,A
new,worn,A
new,old,A
important,of_import,S
important,crucial,S
important,significant,S
important,insignificant,A
important,unimportant,A
important,noncrucial,A
compatible,incompatible,A
leading,following,A
future,past,A
future,present,A
active,dynamic,S
active,inactive,A
active,dormant,A
active,passive,A
active,quiet,A
active,extinct,A
active,stative,A
national,international,A
national,local,A
industrial,nonindustrial,A
syncretic,syncretical,S
syncretic,syncretistic,S
syncretic,syncretistical,S
traditional,nontraditional,A
theoretical,theoretic,S
theoretical,empirical,A
theoretical,applied,A
wide,broad,S
wide,narrow,A
critical,uncritical,A
critical,noncritical,A
formal,informal,A
insurrectionary,insurrectional,S
informal,formal,A
competitive,competitory,S
competitive,noncompetitive,A
main,independent,S
main,dependent,A
peaceful,peaceable,S
peaceful,unpeaceful,A
big,large,S
big,small,A
enforced,implemented,S
enforced,unenforced,A
far,near,A
back,front,A
normative,prescriptive,S
normative,descriptive,A
male,female,A
male,androgynous,A
involuntary,unvoluntary,S
involuntary,nonvoluntary,S
involuntary,voluntary,A
late,early,A
late,middle,A
essential,substantive,S
essential,inessential,A
essential,adjective,A
expressed,explicit,S
expressed,implicit,A
green,unripened,S
green,immature,S
green,unripe,S
green,ripe,A
negative,disconfirming,S
negative,positive,A
negative,affirmative,A
negative,neutral,A
harsh,coarse,S
harsh,fine,A
experienced,experient,S
experienced,inexperienced,A
systematic,taxonomic,S
systematic,taxonomical,S
systematic,unsystematic,A
conservative,liberal,A
divided,united,A
due,undue,A
significant,important,S
significant,insignificant,A
significant,nonsignificant,A
unsuccessful,successful,A
involved,uninvolved,A
standard,received,S
standard,nonstandard,A
prepared,unprepared,A
staged,unstaged,A
square,straight,S
square,round,A
square,crooked,A
unknown,known,A
near,nigh,S
near,close,S
near,far,A
opened,open,S
opened,closed,A
least,most,A
charged,uncharged,A
committed,attached,S
committed,uncommitted,A
committed,unattached,A
incident,incidental,S
incident,basic,A
known,unknown,A
second,first,A
made,unmade,A
secondary,primary,A
annual,one-year,S
annual,biennial,A
annual,perennial,A
gathered,collected,S
gathered,uncollected,A
treated,hardened,S
treated,toughened,S
treated,tempered,S
treated,untreated,A
treated,untempered,A
popular,unpopular,A
qualified,unqualified,A
privileged,underprivileged,A
union,nonunion,A
successful,unsuccessful,A
latin,Romance,S
largest,big,S
largest,large,S
largest,small,A
bolshevik,Bolshevistic,S
bolshevik,Bolshevist,S
turned,unturned,A
proved,proven,S
proved,unproved,A
serious,unplayful,S
serious,sober,S
serious,playful,A
serious,frivolous,A
organizational,organisational,S
north,south,A
eastern,western,A
strongest,stiff,S
strongest,strong,S
strongest,potent,S
strongest,weak,A
strongest,impotent,A
marked,unmarked,A
up,down,A
close,near,S
close,nigh,S
close,distant,A
close,far,A
front,back,A
changed,unchanged,A
armed,armless,A
armed,unarmed,A
large,big,S
large,small,A
rural,urban,A
fascist,fascistic,S
controlled,uncontrolled,A
military,civilian,A
military,unmilitary,A
foreign,strange,S
foreign,native,A
foreign,domestic,A
suppressed,publicized,A
internal,external,A
complex,simple,A
motivated,unmotivated,A
enlightened,unenlightened,A
ethical,unethical,A
democratic,undemocratic,A
identical,monovular,S
identical,fraternal,A
impaired,unimpaired,A
restricted,unrestricted,A
repetitive,repetitious,S
repetitive,nonrepetitive,A
old,young,A
old,new,A
milder,mild,S
milder,intense,A
strong,stiff,S
strong,potent,S
strong,weak,A
strong,impotent,A
genetic,genetical,S
genetic,genic,S
unclear,ill-defined,S
unclear,well-defined,A
unclear,clear,A
controversial,uncontroversial,A
convincing,unconvincing,A
scientific,unscientific,A
increased,decreased,A
actual,existent,S
actual,potential,A
unresolved,unsolved,S
unresolved,solved,A
behavioral,behavioural,S
live,alive,S
live,unrecorded,S
live,recorded,A
live,dead,A
variable,invariable,A
steady,unsteady,A
characteristic,uncharacteristic,A
atypical,untypical,S
atypical,typical,A
sharp,dull,A
sharp,natural,A
sharp,flat,A
normal,abnormal,A
normal,paranormal,A
neural,nervous,S
neural,neuronal,S
neural,neuronic,S
less,more,A
likely,probable,S
likely,unlikely,A
